subject,condition,reaction_time,first_fixation,choice
8,ten-four,0.4046000000000163,ten,0
8,seven-one,0.3238499999999931,one,1
8,twelve-six,0.4042700000000252,twelve,0
8,twelve-six,0.3720299999999952,twelve,0
8,seven-one,0.37147999999999115,one,1
8,ten-four,0.30675999999999704,four,1
8,eleven-five,0.33974000000000615,five,1
8,twelve-six,0.3877899999999954,twelve,0
8,nine-three,0.38754000000000133,three,1
8,eight-two,0.22647999999998092,two,1
8,eight-two,0.3076199999999858,two,1
8,seven-one,0.27445000000000164,one,1
8,nine-three,0.4202900000000227,three,1
8,eleven-five,0.3558100000000195,eleven,0
8,ten-four,0.37200999999998885,ten,0
8,ten-four,0.3394800000000373,ten,0
8,eleven-five,0.3228199999999788,five,1
8,nine-three,0.40366000000000213,nine,0
8,seven-one,0.3397499999999809,one,1
8,eight-two,0.35555999999996857,two,1
8,eight-two,0.3711500000000001,two,1
8,nine-three,0.3555900000000065,three,1
8,twelve-six,0.4041700000000219,twelve,0
8,eleven-five,1.4714700000000107,eleven,0
8,ten-four,0.35573999999996886,four,1
8,seven-one,0.37164999999998827,one,1
8,twelve-six,0.35662999999999556,twelve,0
8,twelve-six,0.32339999999999236,twelve,0
8,seven-one,0.3882700000000341,one,1
8,ten-four,0.4046900000000164,four,1
8,eleven-five,0.37213000000002694,five,1
8,twelve-six,0.4362499999999727,twelve,0
8,nine-three,0.3882700000000341,three,1
8,eight-two,0.42056000000002314,two,1
8,eight-two,0.2911100000000033,two,1
8,seven-one,0.30730999999997266,one,1
8,nine-three,0.3234199999999987,three,1
8,eleven-five,0.2907999999999902,eleven,0
8,ten-four,0.4360899999999788,four,1
9,eight-two,0.41822000000001935,eight,0
9,ten-four,0.3883100000000468,ten,0
9,seven-one,0.43701000000010026,seven,0
9,eight-two,0.4199300000000221,eight,0
9,seven-one,0.38866999999982,seven,0
9,twelve-six,0.3720699999998942,twelve,0
9,nine-three,0.3719499999999698,nine,0
9,nine-three,0.4352999999998701,nine,0
9,eleven-five,0.40429999999992106,eleven,0
9,eleven-five,1.0678800000000592,eleven,0
9,ten-four,0.38817999999992026,ten,0
9,ten-four,0.2910099999999147,ten,0
9,eleven-five,0.29125999999996566,eleven,0
9,eleven-five,0.3559600000003229,five,1
9,nine-three,0.3884299999999712,nine,0
9,nine-three,0.4206500000000233,three,1
9,twelve-six,0.40430000000014843,twelve,0
9,seven-one,0.42017000000032567,seven,0
9,eight-two,0.4689899999998488,eight,0
9,seven-one,0.40453999999999724,seven,0
9,ten-four,0.485110000000077,ten,0
9,eight-two,0.38841999999976906,eight,0
9,twelve-six,0.4216300000002775,twelve,0
9,twelve-six,0.3232399999997142,twelve,0
9,eight-two,0.34009000000014566,eight,0
9,ten-four,0.3395999999997912,ten,0
9,seven-one,0.43578999999999724,seven,0
9,eight-two,0.3884299999999712,eight,0
9,seven-one,0.4365299999999479,seven,0
9,twelve-six,0.614259999999831,twelve,0
9,nine-three,0.30688000000009197,nine,0
9,nine-three,0.3552300000001196,nine,0
9,eleven-five,0.37231999999994514,eleven,0
9,eleven-five,0.41992000000027474,eleven,0
9,ten-four,0.646979999999985,ten,0
9,ten-four,0.2751499999999396,ten,0
9,eleven-five,0.452389999999923,eleven,0
9,eleven-five,0.37157999999999447,eleven,0
9,nine-three,0.35595999999986816,nine,0
9,nine-three,0.3396000000002459,nine,0
9,twelve-six,0.42065999999977066,twelve,0
9,seven-one,0.42016000000012355,seven,0
9,eight-two,0.40430000000014843,eight,0
9,seven-one,0.4201699999998709,seven,0
9,ten-four,0.37231999999994514,ten,0
9,eight-two,0.4040500000000975,two,1
9,twelve-six,0.485110000000077,twelve,0
10,eight-two,0.857050000000072,two,1
10,eleven-five,0.5012800000000652,eleven,0
10,seven-one,0.4851099999999633,seven,0
10,twelve-six,0.5341200000000299,twelve,0
10,twelve-six,0.5334500000000162,six,1
10,ten-four,0.4367700000000241,ten,0
10,eleven-five,0.5984500000000708,eleven,0
10,seven-one,0.6149900000000343,one,1
10,ten-four,0.4210199999999986,ten,0
10,eight-two,0.7766699999999673,eight,0
10,nine-three,0.4686900000000378,nine,0
10,nine-three,0.6796799999999621,nine,0
10,eight-two,1.180970000000002,two,1
10,ten-four,0.4368299999999863,four,1
10,seven-one,0.5652400000000171,one,1
10,eleven-five,0.5339900000000171,eleven,0
10,ten-four,0.3562600000000202,ten,0
10,twelve-six,0.4851700000000392,twelve,0
10,twelve-six,0.43639999999993506,six,1
10,seven-one,1.1159599999999728,one,1
10,eleven-five,0.5007999999999129,eleven,0
10,eight-two,1.4071099999999888,two,1
10,nine-three,0.5338100000001305,nine,0
10,nine-three,1.406979999999976,nine,0
10,eight-two,0.6311000000000604,eight,0
10,eleven-five,0.275269999999864,eleven,0
10,seven-one,1.261600000000044,one,1
10,twelve-six,0.5314900000000762,twelve,0
10,twelve-six,0.5662800000000061,twelve,0
10,ten-four,0.3554699999999684,ten,0
10,eleven-five,0.2265700000000379,eleven,0
10,seven-one,0.5982700000001842,one,1
10,ten-four,0.43640000000004875,ten,0
10,eight-two,0.46911999999997533,eight,0
10,nine-three,0.2745300000001407,nine,0
10,nine-three,0.9542200000000776,nine,0
10,eight-two,0.33924000000001797,two,1
10,ten-four,0.4364100000000235,ten,0
10,seven-one,1.0673899999999321,one,1
10,eleven-five,0.4606900000001133,eleven,0
10,ten-four,0.40453999999999724,ten,0
10,twelve-six,0.6148699999998826,twelve,0
10,twelve-six,0.4693600000000515,twelve,0
10,eleven-five,0.2746600000000399,eleven,0
10,eight-two,1.1641799999999876,two,1
10,nine-three,0.4531200000001263,nine,0
11,seven-one,0.35487000000000535,seven,0
11,twelve-six,0.36868999999998664,twelve,0
11,ten-four,0.32132000000001426,four,1
11,eleven-five,0.3281999999999812,eleven,0
11,twelve-six,0.28803000000002044,twelve,0
11,eight-two,0.3015000000000043,eight,0
11,eleven-five,0.32133000000001744,eleven,0
11,seven-one,0.315400000000011,one,1
11,ten-four,0.37560999999999467,ten,0
11,eight-two,0.3959600000000023,eight,0
11,nine-three,0.308669999999978,nine,0
11,nine-three,0.34171999999998093,three,1
11,eight-two,0.3216600000000085,eight,0
11,ten-four,0.3678000000000452,ten,0
11,seven-one,0.3080699999999865,seven,0
11,eleven-five,1.687720000000013,eleven,0
11,eight-two,0.3484200000000328,eight,0
11,twelve-six,0.3282700000000318,twelve,0
11,eleven-five,0.28809000000001106,eleven,0
11,ten-four,0.3357199999999807,ten,0
11,twelve-six,0.3732599999999593,twelve,0
11,seven-one,0.3754900000000134,seven,0
11,nine-three,0.3084999999999809,nine,0
11,nine-three,0.3015399999999886,three,1
11,seven-one,0.5544399999999996,one,1
11,twelve-six,0.49880999999999176,twelve,0
11,ten-four,0.35482999999999265,ten,0
11,eleven-five,0.23455999999998767,eleven,0
11,twelve-six,0.5889300000000048,twelve,0
11,eight-two,0.36865000000000236,eight,0
11,eleven-five,0.26778999999999087,eleven,0
11,seven-one,0.35552999999998747,seven,0
11,ten-four,0.261229999999955,ten,0
11,eight-two,0.45489999999995234,eight,0
11,nine-three,0.32865000000003874,nine,0
11,nine-three,0.2077000000000453,nine,0
11,eight-two,0.3217099999999391,two,1
11,ten-four,0.23508000000003904,ten,0
11,seven-one,0.2949199999999337,seven,0
11,eleven-five,0.23507000000006428,eleven,0
11,eight-two,0.3144600000000537,eight,0
11,eleven-five,0.281729999999925,eleven,0
11,ten-four,0.24153999999998632,ten,0
11,twelve-six,0.3279099999999744,twelve,0
11,seven-one,0.3555900000000065,one,1
11,nine-three,0.30671000000006643,nine,0
12,nine-three,0.4042999999996937,three,1
12,nine-three,0.46900000000005093,nine,0
12,seven-one,0.355710000000272,one,1
12,eight-two,0.33912000000009357,two,1
12,ten-four,0.3071300000001429,ten,0
12,seven-one,0.33958999999958905,one,1
12,ten-four,0.4040500000000975,ten,0
12,eight-two,0.3549800000000687,two,1
12,eleven-five,0.3232399999997142,eleven,0
12,twelve-six,0.3884299999999712,twelve,0
12,eleven-five,0.32348999999976513,eleven,0
12,eleven-five,0.3562000000001717,eleven,0
12,twelve-six,0.3068900000002941,twelve,0
12,eleven-five,0.33934999999974025,eleven,0
12,eight-two,0.501470000000154,two,1
12,ten-four,0.3720699999998942,ten,0
12,seven-one,0.34106000000019776,one,1
12,ten-four,0.37157999999999447,ten,0
12,eight-two,0.6469700000002376,eight,0
12,seven-one,0.33985000000029686,one,1
12,nine-three,0.35570999999981723,nine,0
12,nine-three,0.35570999999981723,nine,0
12,twelve-six,0.38867000000027474,twelve,0
12,twelve-six,0.3559600000003229,twelve,0
12,nine-three,0.6792000000000371,nine,0
12,nine-three,0.37157999999999447,nine,0
12,seven-one,0.30738000000019383,one,1
12,eight-two,0.32348000000001775,two,1
12,ten-four,0.7438999999999396,four,1
12,seven-one,0.32348000000001775,one,1
12,ten-four,0.45263999999997395,ten,0
12,eight-two,0.9704600000000028,two,1
12,eleven-five,0.6628399999999601,five,1
12,twelve-six,1.0354000000002088,six,1
12,eleven-five,0.8728000000000975,five,1
12,eleven-five,0.7275399999998626,five,1
12,twelve-six,0.3061499999998887,twelve,0
12,eleven-five,0.38794000000007145,eleven,0
12,eight-two,0.5986400000001595,eight,0
12,ten-four,0.6308600000002116,ten,0
12,seven-one,0.33887000000004264,one,1
12,ten-four,0.3876999999997679,ten,0
12,eight-two,0.6311099999998078,eight,0
12,seven-one,0.4206600000002254,seven,0
12,nine-three,0.7114199999996345,nine,0
12,nine-three,0.7282699999996112,nine,0
12,twelve-six,0.3559600000003229,twelve,0
13,eleven-five,0.45276000000012573,eleven,0
13,seven-one,0.45337000000017724,seven,0
13,seven-one,0.663569999999936,one,1
13,eleven-five,0.30688000000009197,eleven,0
13,nine-three,0.29112999999983913,nine,0
13,ten-four,0.3554699999999684,ten,0
13,ten-four,0.5173299999999017,ten,0
